avg_brightness,contrast,sharpness,category
0.4510211,0.24276975,0.06229971,hotdog
0.5791729,0.20265539,0.03909142,hotdog
0.5949413,0.22685966,0.048417903,hotdog
0.5697115,0.29050216,0.0748243,hotdog
0.32938537,0.2141537,0.029180668,hotdog
0.4886993,0.29384845,0.089997336,hotdog
0.21444635,0.16049115,0.023347132,hotdog
0.47562504,0.2052179,0.04796447,hotdog
0.44954416,0.18911418,0.06237146,hotdog
0.31326398,0.18828453,0.056910925,hotdog
0.3427137,0.25475007,0.034384068,hotdog
0.7603434,0.3042193,0.045783516,hotdog
0.43327972,0.24628606,0.070435725,hotdog
0.42082044,0.24815632,0.07782689,hotdog
0.38993263,0.18204732,0.037688464,hotdog
0.32408017,0.19455147,0.030745655,hotdog
0.39831176,0.34519583,0.05432041,hotdog
0.4090477,0.399571,0.04276695,hotdog
0.6013625,0.37001923,0.13053328,hotdog
0.398641,0.29858804,0.063972004,hotdog
0.5049086,0.3319057,0.09319267,hotdog
0.4368192,0.34690496,0.053784594,hotdog
0.52944815,0.22635068,0.03841998,hotdog
0.6002487,0.2796195,0.07823577,hotdog
0.4618702,0.32501677,0.076112874,hotdog
0.5236688,0.27948302,0.07111794,hotdog
0.71334916,0.2866735,0.04362913,hotdog
0.38995445,0.20781277,0.036781304,hotdog
0.41674244,0.32129905,0.040713027,hotdog
0.44300738,0.24510498,0.04715975,hotdog
0.29036877,0.3290524,0.043246854,hotdog
0.46391663,0.25036168,0.0542365,hotdog
0.48989436,0.24896398,0.08378366,hotdog
0.43357524,0.27682993,0.08555602,hotdog
0.5361325,0.23899238,0.045121096,hotdog
0.36808765,0.24427357,0.050911464,hotdog
0.5158252,0.21627556,0.04653688,hotdog
0.5363859,0.24782158,0.045376144,hotdog
0.49614236,0.23541574,0.03969711,hotdog
0.45370674,0.23202898,0.053660315,hotdog
0.46078515,0.23883253,0.05727738,hotdog
0.45736852,0.3346624,0.069057584,hotdog
0.38455212,0.18874678,0.04223073,hotdog
0.48502848,0.267779,0.05097235,hotdog
0.37073758,0.3179877,0.08121021,hotdog
0.3789722,0.1987943,0.034382198,hotdog
0.4892288,0.2570654,0.07355395,hotdog
0.42658198,0.24388473,0.0508044,hotdog
0.5329894,0.28394574,0.07931565,hotdog
0.5087301,0.2627078,0.05757079,hotdog
0.31790006,0.1830125,0.057874236,hotdog
0.55634713,0.22180928,0.080831856,hotdog
0.5561736,0.18485025,0.031062625,hotdog
0.41674244,0.32129905,0.040713027,hotdog
0.6662321,0.30411902,0.063619286,hotdog
